project_name,x,y,lat_adj,lon_adj
LENTOR HILLS RESIDENCES,28104.796178787954,40654.477207242104,1.38393916629662,103.83426025167101
LEEDON GREEN,24648.74690233356,32757.706853516636,1.312523400217805,103.80320591387326
THE MYST,20304.236747752235,39502.85869115713,1.3735233334955967,103.76416664189634
THE LANDMARK,29373.08582777993,30424.5979430216,1.2914237221842466,103.84565635695701
LENTOR MODERN,28144.369019942984,40848.276580629885,1.3856918182030464,103.83461584447866
KLIMT CAIRNHILL,28310.999541980702,32362.1775964713,1.3089465542062348,103.8361130599175
SANT RITZ,31995.0798775493,34664.05040305015,1.329763617547095,103.86921659288049
QUEENS PEAK,25061.200004314396,30772.09819682127,1.2945662990080766,103.80691219570366
FABER GARDEN CONDOMINIUM,27724.17570340712,38300.6708680534,1.3626521818422699,103.830840110849
DBS SIGLAP V,38058.1652555524,32788.70792401585,1.31280230246341,103.9236961412815
THE ATELIER,28916.82057606805,32793.8930112347,1.312850824068235,103.8415566665465
YISHUN EMERALD,27729.52399054902,46797.174565782974,1.4394915064880778,103.83088808917623
NEU AT NOVENA,29408.699995014802,33542.87354188695,1.3196243207622351,103.8459764810315
HIGH PARK RESIDENCES,32594.416852709364,41987.09927171824,1.395990558006997,103.87460309529301
PANDAN VALLEY,21879.769843621612,33509.26580125801,1.3193198038392913,103.77832514371511
BELLE VUE RESIDENCES,28997.337922685587,30945.315163276166,1.296132934945621,103.8422800957542
THE GALE,42889.87934271582,37865.15228012651,1.3587097810177737,103.9671138851076
SIMSVILLE,34275.0726599077,33245.09223484218,1.3169306826838332,103.8897033004885
PARC CLEMATIS,19843.807355983743,33294.74184773398,1.317379252652295,103.76003103254511
THE FLORENCE RESIDENCES,33921.326727732,38763.05411769784,1.366833219532987,103.886525792134
VIBES @ KOVAN,32926.8969636345,37435.260532569155,1.35482531370802,103.87758993650351
SHANGHAI ONE,27358.9741425044,30804.30585887285,1.29485770568493,103.8275586850155
THE CORNWALL,24352.89151934675,32732.056042622775,1.31229138973322,103.80054751033924
GUILIN VIEW,19027.229939628243,37495.96072975918,1.3553733204310612,103.75269243385472
CAMBRIDGE VILLAGE,29564.22882093955,32836.1361594936,1.3132328301172,103.8473739526215
SOUTHAVEN II,21289.170235646718,36535.513676755734,1.3466879789201769,103.77301763639616
SUITES @ SIMS,33995.1310199648,33114.2990055252,1.31574789145225,103.8871878577645
THE CALYPSO,40250.636513387166,33047.070322782405,1.3151380419178167,103.94339665397933
CANBERRA RESIDENCES,27035.56024009008,47348.680456426184,1.4444791103397199,103.8246521330191
THE HACIENDA,38414.46374127766,32955.84383057774,1.3143137000809717,103.92689771181801
EVERGREEN PARK,35349.81116468794,38999.4949968554,1.3689711844317178,103.89936176545439
STELLAR RV,27465.33766849945,30831.081023206,1.29509985286535,103.8285144067835
MARTIN PLACE RESIDENCES,28555.90100664345,30738.641306977723,1.2942638602558698,103.83831358878224
SUNGLADE,32208.421812279263,36742.11503744942,1.34855686380847,103.87113387638787
BRADDELL VIEW,28839.8754387281,36017.105178235484,1.342000415836171,103.84086536450609
FLO RESIDENCE,36916.77915025804,41571.48416403005,1.3922308791543374,103.91344283732352
TANGLIN VIEW,26266.086898187157,30480.04182262678,1.2919251341476081,103.81773863908441
HAZEL PARK CONDOMINIUM,20410.78502783882,39452.79198881238,1.3730705761022721,103.76512406685855
RIO VISTA,35579.38497990548,39405.51131345444,1.372642990278613,103.9014247492739
BISHAN PARK CONDOMINIUM,27793.522668650112,38661.78410573092,1.3659179617303485,103.83146323771572
HILLS TWOONE,19663.41655654645,37172.5210554544,1.3524484344187302,103.758409068674
COCO PALMS,40542.57121734964,39306.072657194374,1.371742008056858,103.9460224227482
