street,lat,lon
JALAN MAT JAMBOL,1.27899984,103.79160864
MIMOSA ROAD,1.38426533,103.86178645
ARDMORE PARK,1.3094628,103.82908754
CARLISLE ROAD,1.3137749,103.848369425
ELIAS GREEN,1.37115235,103.94205620000001
LORONG 34 GEYLANG,1.3125248,103.88796975
SENGKANG EAST AVENUE,1.3894240285714285,103.88580852857142
GOPENG STREET,1.2754039,103.84465215999998
JALAN RAJAH,1.3279155999999999,103.85048691666667
MOUNT SOPHIA,1.3013127666666666,103.84672053333333
GERALD DRIVE,1.38619476,103.87660578999999
CARPMAEL ROAD,1.3110330142857143,103.89977007142855
MACKENZIE ROAD,1.3059365142857142,103.84814992857142
ARCADIA ROAD,1.3329721666666667,103.81248786666667
FERNVALE LINK,1.3933793222222224,103.87916645555555
AVA ROAD,1.32223815,103.85232880000001
ROBERTSON QUAY,1.2907038600000003,103.83879777
NORMANTON PARK,1.2880326,103.79180885714287
EDGEDALE PLAINS,1.3996011400000001,103.91398072
ANTHONY ROAD,1.3103637,103.83788203333334
LAKEPOINT DRIVE,1.3407325,103.717539075
MACPHERSON ROAD,1.33078246,103.87801196000001
JALAN PARI KIKIS,1.33164555,103.94353475
OUTRAM ROAD,1.283518,103.83677748999999
ANSON ROAD,1.27475262,103.84559586
JALAN DAUD,1.32589875,103.90875930000001
CHOA CHU KANG AVENUE 3,1.37999212,103.74106100000002
TANAH MERAH KECHIL ROAD,1.3284839333333334,103.94376263333334
NIM ROAD,1.38204941,103.86338814999999
RANGOON ROAD,1.31414251,103.85416866
SUFFOLK WALK,1.3152257,103.8444914
JALAN JINTAN,1.3057788,103.8347407
MOULMEIN ROAD,1.3190022000000001,103.84828405
LORONG 25A GEYLANG,1.31457085,103.88311895000002
MARNE ROAD,1.3127681,103.8570115
JALAN RAJA UDANG,1.3276515500000001,103.8424329
LEONIE HILL ROAD,1.29838875,103.83371555
BEDOK ROAD,1.3270141,103.9508459625
JALAN RUMBIA,1.295831,103.8430846
UPPER SERANGOON CRESCENT,1.3764717166666667,103.90098848333334
